trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
76,0,76,0,155.0407816,156.041491,156.041491,0,up,1,0.62793,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
77,0,77,0,156.6907521,157.6913975,157.6913975,0,up,1,0.7314754,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
78,0,78,0,158.4407203,159.4413467,159.4413467,0,up,1,0.6901113,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
79,0,79,0,160.157725,161.158183,161.158183,0,up,1,0.5873919,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
80,0,80,0,161.7743305,162.7741104,162.7741104,-2,up,0,0.9045383,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
81,0,81,0,163.7076095,164.7078618,164.7078618,0,up,1,0.5906976,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
82,0,82,0,165.3241216,166.3242573,166.3242573,-4,down,1,0.6877123,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
83,0,83,0,167.0404089,168.0408648,168.0408648,-2,down,1,0.9636864,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
84,0,84,0,169.0237705,170.0240463,170.0240463,-5,down,1,0.6239196,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
85,0,85,0,170.6738397,171.6738849,171.6738849,0,up,1,0.5862087,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
86,0,86,0,172.2903938,173.2900544,173.2900544,0,up,1,0.6905404,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
87,0,87,0,174.0073183,175.0067362,175.0067362,2,down,1,0.6886464,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
88,0,88,0,175.7235999,176.7240263,176.7240263,0,up,1,0.8138602,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
89,0,89,0,177.5568002,178.5565253,178.5565253,0,up,0,0.4985184,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
90,0,90,0,179.0732594,180.073844,180.073844,4,down,1,0.556502,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
91,0,91,0,180.6564788,181.6572524,181.6572524,-4,down,1,0.7821672,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
92,0,92,0,182.4565243,183.4570997,183.4570997,0,up,1,0.6243901,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
93,0,93,0,184.1066092,185.1070581,185.1070581,-3,down,1,0.7042457,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
94,0,94,0,185.8393909,186.8397364,186.8397364,-5,down,1,0.7366613,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
95,0,95,0,187.6063346,188.60677,188.60677,2,down,1,0.7778327,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
96,0,96,0,189.4063265,190.406672,190.406672,3,down,1,0.9210969,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
97,0,97,0,191.3561027,192.3564787,192.3564787,1,up,0,1.0330218,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
98,0,98,0,193.405755,194.4061038,194.4061038,0,up,1,0.5955457,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
99,0,99,0,195.0227093,196.0223358,196.0223358,-3,down,1,0.6712154,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
100,0,100,0,196.7226516,197.7226106,197.7226106,0,up,1,0.8129575,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
101,0,101,0,198.5556658,199.5555159,199.5555159,-1,up,0,0.7382592,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
102,0,102,0,200.322624,201.3220696,201.3220696,-3,up,0,0.666489,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
103,0,103,0,202.0057199,203.0058435,203.0058435,-4,down,1,0.6935521,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
104,0,104,0,203.7218874,204.7226187,204.7226187,0,up,1,0.669158,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
105,0,105,0,205.4217984,206.4224251,206.4224251,0,up,1,0.7412824,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
106,0,106,0,207.1884498,208.1888904,208.1888904,0,up,1,0.7075598,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
107,0,107,0,208.921534,209.9219786,209.9219786,0,up,1,0.622427,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
108,0,108,0,210.5714666,211.5721871,211.5721871,-5,down,1,0.5895054,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
109,0,109,0,212.1880805,213.1886744,213.1886744,0,up,1,0.9586818,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
110,0,110,0,214.1719385,215.1722665,215.1722665,-4,down,1,0.927739,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
111,0,111,0,216.1217542,217.1217642,217.1217642,0,up,1,0.8287891,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
112,0,112,0,217.9714168,218.971819,218.971819,2,down,1,0.6523323,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
113,0,113,0,219.6544319,220.6551318,220.6551318,-3,down,1,0.7887259,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
114,0,114,0,221.471243,222.4716227,222.4716227,1,up,0,0.7426109,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
115,0,115,0,223.2378287,224.2381359,224.2381359,-2,up,0,1.0566295,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
116,0,116,0,225.3209412,226.3206825,226.3206825,0,up,1,0.9750927,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
117,0,117,0,227.3209766,228.3215115,228.3215115,0,up,0,0.7357331,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
118,0,118,0,229.0871517,230.0879791,230.0879791,-4,down,1,0.6593006,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
119,0,119,0,230.7713667,231.7710586,231.7710586,0,up,1,1.0178863,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
120,0,120,0,232.820649,233.8211295,233.8211295,0,up,1,0.7311771,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
121,0,121,0,234.5705271,235.5712083,235.5712083,0,up,1,0.9512246,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
122,0,122,0,236.5535777,237.5539917,237.5539917,-5,down,1,0.7702901,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
123,0,123,0,238.3538264,239.353558,239.353558,0,up,1,0.9054665,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
124,0,124,0,240.2868889,241.2865425,241.2865425,0,up,1,0.6761051,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
125,0,125,0,241.986771,242.987212,242.987212,0,up,1,0.8278449,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
126,0,126,0,243.8366611,244.8369688,244.8369688,2,down,1,1.4648481,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
127,0,127,0,246.3199257,247.3196897,247.3196897,0,up,1,0.72557,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
128,0,128,0,248.0700523,249.0703604,249.0703604,0,up,1,0.777141,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
129,0,129,0,249.8698143,250.8702439,250.8702439,0,up,1,0.7131406,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
130,0,130,0,251.6031808,252.6031878,252.6031878,0,up,1,0.7227358,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
131,0,131,0,253.3528684,254.3535739,254.3535739,0,up,1,0.5529382,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
132,0,132,0,254.9357467,255.9366398,255.9366398,3,down,1,0.640655,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
133,0,133,0,256.6028449,257.6034216,257.6034216,-3,down,1,0.9372367,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
134,0,134,0,258.5691772,259.569957,259.569957,4,down,1,0.8906728,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
135,0,135,0,260.4857218,261.4862764,261.4862764,1,up,0,0.5313811,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
